nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1260.1406,1.319e-28,0.0892,0.111,2873.4788,4,0710,0510,P 5e
1260.1418,1.294e-28,0.0701,0.085,4727.0531,1,2510,1510,P 35f
1260.1472,1.636e-26,0.0689,0.082,3755.6341,1,2330,1330,P 40f
1260.1494,1.636e-26,0.0689,0.082,3755.6283,1,2330,1330,P 40e
1260.1514,4.893e-22,0.0741,0.094,231.2242,2,1000,0000,P 23e
1260.1518,1.114e-26,0.0749,0.095,1927.6929,5,1310,0310,P 21f
1260.1523,2.365e-28,0.082,0.105,2483.6781,4,1420,1220,Q 11e
1260.1524,2.681e-21,0.0701,0.085,1116.6489,1,1110,0110,P 35e
1260.1529,2.366e-28,0.082,0.105,2483.6776,4,1420,1220,Q 11f
1260.1543,4.260e-26,0.0707,0.086,3516.483,1,2310,1310,P 33f
1260.1557,7.912e-28,0.082,0.105,3986.3839,1,1311,0311,P 11f
1260.1567,1.660e-25,0.0745,0.094,1379.2479,5,1220,0220,P 22e
1260.1586,1.119e-26,0.0749,0.095,1927.0537,5,1310,0310,P 21e
1260.1602,1.660e-25,0.0745,0.094,1379.2369,5,1220,0220,P 22f
1260.1661,1.578e-24,0.0741,0.094,1383.8577,3,1200,0200,P 23e
1260.1676,1.774e-23,0.0719,0.089,2244.1202,1,2110,1110,P 29f
1260.1681,5.122e-28,0.0681,0.08,4492.442,1,1640,1440,P 44e
1260.1683,5.122e-28,0.0681,0.08,4492.4416,1,1640,1440,P 44f
1260.1733,7.970e-27,0.0749,0.095,2624.4224,2,2200,1200,P 21e
1260.1738,1.311e-28,0.0868,0.109,3044.3061,4,1530,1330,P 7e
1260.1738,1.311e-28,0.0868,0.109,3044.3061,4,1530,1330,P 7f
1260.1759,7.924e-28,0.082,0.105,3986.1907,1,1311,0311,P 11e
1260.1763,2.704e-28,0.0833,0.106,2474.9805,4,1420,1220,Q 10e
1260.1767,2.704e-28,0.0833,0.106,2474.9801,4,1420,1220,Q 10f
1260.1820,2.944e-28,0.0906,0.112,2529.5159,5,3000,2000,R 3e
1260.1897,4.142e-28,0.0745,0.094,1979.7293,1,1310,0330,P 22f
1260.1899,4.623e-27,0.0791,0.102,2483.3187,4,2200,1200,R 13e
1260.1980,3.109e-28,0.0846,0.107,2467.0734,4,1420,1220,Q 9e
1260.1983,3.109e-28,0.0846,0.107,2467.0731,4,1420,1220,Q 9f
1260.2105,5.468e-25,0.0701,0.085,3001.95,1,2220,1220,P 35e
1260.2126,6.726e-27,0.0722,0.09,2091.1873,5,1330,0330,P 28f
1260.2128,6.726e-27,0.0722,0.09,2091.1867,5,1330,0330,P 28e
1260.2147,6.425e-28,0.0791,0.102,1812.7669,4,1310,0310,Q 14f
1260.2166,3.280e-28,0.0725,0.09,3335.1912,2,2330,1330,P 27f
1260.2171,3.280e-28,0.0725,0.09,3335.1896,2,2330,1330,P 27e
1260.2175,3.600e-28,0.0857,0.108,2459.957,4,1420,1220,Q 8e
1260.2178,3.600e-28,0.0857,0.108,2459.9567,4,1420,1220,Q 8f
1260.2258,2.779e-28,0.0677,0.079,2025.476,4,1220,0220,Q 46f
1260.2266,5.294e-22,0.0749,0.095,1477.6384,1,2000,1000,P 21e
1260.2334,2.010e-28,0.0833,0.106,3128.7352,4,2310,2110,R 9e
1260.2348,5.475e-25,0.0701,0.085,3001.87,1,2220,1220,P 35f
1260.2349,4.212e-28,0.0868,0.109,2453.6312,4,1420,1220,Q 7e
1260.2351,4.212e-28,0.0868,0.109,2453.631,4,1420,1220,Q 7f
1260.2369,1.168e-24,0.0715,0.088,1534.6199,2,1200,0200,P 30e
1260.2371,1.667e-25,0.0681,0.08,3163.4068,1,1420,0420,P 44f
1260.2391,2.077e-26,0.0667,0.076,2323.6033,1,1220,0200,P 52e
1260.2413,2.662e-21,0.0701,0.085,1117.6452,1,1110,0110,P 35f
1260.2466,4.107e-28,0.0681,0.08,1953.5239,4,1220,0220,Q 44e
1260.2501,5.001e-28,0.088,0.11,2448.096,4,1420,1220,Q 6e
1260.2503,5.001e-28,0.088,0.11,2448.0958,4,1420,1220,Q 6f
1260.2510,1.137e-26,0.0868,0.109,2195.1139,2,1001,0001,R 6e
1260.2514,2.236e-28,0.0759,0.097,4603.818,1,4110,3110,P 19e
1260.2618,1.443e-27,0.0941,0.116,2433.89,4,1420,1220,Q 2f
1260.2618,1.443e-27,0.0941,0.116,2433.89,4,1420,1220,Q 2e
1260.2627,1.693e-24,0.0783,0.101,2663.0754,1,3000,2000,P 15e
1260.2631,6.063e-28,0.0892,0.111,2443.3516,4,1420,1220,Q 5e
1260.2632,6.063e-28,0.0892,0.111,2443.3515,4,1420,1220,Q 5f
1260.2731,3.159e-28,0.082,0.105,3188.6516,3,2310,2110,P 11e
1260.2740,7.587e-28,0.0906,0.112,2439.3978,4,1420,1220,Q 4f
1260.2740,7.587e-28,0.0906,0.112,2439.3978,4,1420,1220,Q 4e
1260.2764,2.042e-28,0.0626,0.064,3572.6007,1,0330,0110,R 84e
1260.2766,9.268e-27,0.0868,0.109,3387.3038,1,1201,0201,P 7e
1260.2787,3.155e-28,0.082,0.105,3188.7904,3,2310,2110,P 11f
1260.2794,5.436e-25,0.0892,0.111,1163.0654,4,1200,0200,R 4e
1260.2828,9.988e-28,0.0922,0.114,2436.2347,4,1420,1220,Q 3f
1260.2828,9.988e-28,0.0922,0.114,2436.2347,4,1420,1220,Q 3e
1260.2917,2.009e-28,0.0833,0.106,3128.8345,4,2310,2110,R 9f
1260.2967,7.291e-28,0.0799,0.103,1801.6452,4,1310,0310,Q 13f
1260.2994,2.506e-28,0.0707,0.086,2805.2455,5,1440,0440,P 33e
1260.2994,2.506e-28,0.0707,0.086,2805.2455,5,1440,0440,P 33f
1260.3067,1.247e-24,0.0749,0.095,1412.3849,4,2000,1000,R 20e
1260.3088,1.111e-28,0.067,0.077,3526.7355,1,2220,1200,P 50e
1260.3146,2.228e-28,0.0759,0.097,4604.3182,1,4110,3110,P 19f
1260.3152,6.012e-27,0.0675,0.078,3863.5695,1,1530,0530,P 47f
1260.3177,1.351e-25,0.0759,0.097,2018.7294,2,2110,1110,P 19e
1260.3193,6.820e-28,0.0745,0.094,2514.405,5,1400,0400,P 22e
1260.3212,1.347e-25,0.0759,0.097,2019.0685,2,2110,1110,P 19f
1260.3312,3.396e-28,0.0679,0.079,1989.0485,4,1220,0220,Q 45f
1260.3353,8.339e-26,0.0906,0.112,2806.6234,1,1111,0111,P 4f
1260.3403,8.341e-26,0.0906,0.112,2806.6079,1,1111,0111,P 4e
1260.3404,6.019e-27,0.0675,0.078,3863.4842,1,1530,0530,P 47e
1260.3466,4.016e-27,0.0749,0.095,2656.1934,4,3000,2000,R 20e
1260.3514,1.480e-24,0.0906,0.112,2228.7434,1,1001,0001,R 3e
1260.3521,1.056e-26,0.0736,0.093,2423.1818,3,1001,0001,R 23e
1260.3635,4.986e-28,0.0683,0.08,1918.6655,4,1220,0220,Q 43e
