nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1271.3452,2.384e-28,0.0722,0.09,4558.1569,1,3330,1530,P 28f
1271.3464,6.184e-26,0.0722,0.09,3408.9327,1,2330,1330,P 28f
1271.3465,2.384e-28,0.0722,0.09,4558.1534,1,3330,1530,P 28e
1271.3467,6.184e-26,0.0722,0.09,3408.9319,1,2330,1330,P 28e
1271.3481,2.558e-27,0.0704,0.086,3975.9541,1,0820,0620,P 34e
1271.3509,9.242e-25,0.082,0.105,1212.3267,4,1220,0220,R 10f
1271.3511,9.242e-25,0.082,0.105,1212.327,4,1220,0220,R 10e
1271.3513,1.791e-23,0.0719,0.089,2113.9443,1,1310,0310,P 29e
1271.3520,9.145e-27,0.0857,0.108,1768.397,5,1310,0310,P 8f
1271.3562,7.525e-27,0.0777,0.1,2415.6688,3,1400,0400,P 16e
1271.3583,7.483e-21,0.0741,0.094,820.0997,1,1110,0110,P 23e
1271.3609,6.851e-27,0.0759,0.097,2469.1422,3,1420,0420,P 19f
1271.3633,6.849e-27,0.0759,0.097,2469.1548,3,1420,0420,P 19e
1271.3649,8.348e-28,0.0692,0.083,1220.6337,5,1110,0110,Q 39e
1271.3661,1.776e-23,0.0719,0.089,2115.239,1,1310,0310,P 29f
1271.3661,3.642e-25,0.0941,0.116,2565.8331,1,3000,2000,P 2e
1271.3674,9.153e-27,0.0857,0.108,1768.2971,5,1310,0310,P 8e
1271.3716,1.240e-28,0.0699,0.084,4613.718,1,0930,0730,P 36f
1271.3819,7.459e-21,0.0741,0.094,820.5366,1,1110,0110,P 23f
1271.3826,5.972e-27,0.0846,0.107,2582.3088,2,3000,2000,R 8e
1271.3855,1.241e-28,0.0699,0.084,4613.6679,1,0930,0730,P 36e
1271.3909,1.650e-24,0.0833,0.106,1204.5974,3,1200,0200,P 10e
1271.3955,2.858e-28,0.0719,0.089,3245.3067,2,1550,0550,P 29e
1271.3955,2.858e-28,0.0719,0.089,3245.3067,2,1550,0550,P 29f
1271.4003,2.424e-28,0.0745,0.094,4575.916,1,2530,2330,P 22f
1271.4004,2.424e-28,0.0745,0.094,4575.9159,1,2530,2330,P 22e
1271.4033,2.831e-22,0.0719,0.089,1543.1611,1,1220,0220,P 29e
1271.4090,5.219e-26,0.0709,0.087,3340.9012,1,1510,0510,P 32e
1271.4117,5.144e-26,0.0709,0.087,3343.1777,1,1510,0510,P 32f
1271.4122,3.701e-24,0.0765,0.098,2350.9015,1,1001,0001,R 17e
1271.4136,2.833e-22,0.0719,0.089,1543.1169,1,1220,0220,P 29f
1271.4158,9.988e-28,0.0694,0.083,1188.9396,5,1110,0110,Q 38e
1271.4186,6.507e-28,0.0668,0.076,1660.2709,3,1110,0110,Q 51f
1271.4241,1.366e-28,0.088,0.11,4463.8407,1,4110,3110,P 6f
1271.4252,3.630e-28,0.0741,0.094,4429.8621,1,2510,1510,P 23f
1271.4254,5.115e-27,0.0906,0.112,1863.6271,5,2110,1110,R 3e
1271.4297,2.571e-27,0.0704,0.086,3975.4458,1,0820,0620,P 34f
1271.4300,1.367e-28,0.088,0.11,4463.7857,1,4110,3110,P 6e
1271.4305,1.506e-26,0.0754,0.096,757.5233,5,1110,0110,Q 20f
1271.4363,5.115e-27,0.0906,0.112,1863.6379,5,2110,1110,R 3f
1271.4382,3.155e-28,0.0736,0.093,2105.3256,3,2110,1110,Q 24f
1271.4477,1.166e-26,0.0685,0.081,3706.8147,1,1550,0550,P 42e
1271.4477,1.166e-26,0.0685,0.081,3706.8147,1,1550,0550,P 42f
1271.4542,3.662e-28,0.0741,0.094,4428.589,1,2510,1510,P 23e
1271.4657,1.191e-27,0.0696,0.084,1158.0562,5,1110,0110,Q 37e
1271.4812,1.914e-28,0.0733,0.092,3329.1804,4,2310,2110,R 24e
1271.4827,9.967e-24,0.0704,0.086,2267.2789,1,1330,0330,P 34f
1271.4838,9.967e-24,0.0704,0.086,2267.2759,1,1330,0330,P 34e
1271.4874,2.666e-27,0.0689,0.082,2827.5426,3,1001,0001,R 39e
1271.4932,9.537e-26,0.0749,0.095,1944.3389,3,1330,0330,P 21f
1271.4933,9.537e-26,0.0749,0.095,1944.3388,3,1330,0330,P 21e
1271.5019,1.126e-22,0.0941,0.116,0.8097,3,1000,0000,R 1e
1271.5050,2.447e-27,0.0709,0.087,4105.1383,1,1640,1440,P 32e
1271.5050,2.447e-27,0.0709,0.087,4105.1382,1,1640,1440,P 32f
1271.5064,3.584e-28,0.0741,0.094,3118.341,3,1530,0530,P 23e
1271.5104,1.091e-24,0.0754,0.096,1305.696,4,1200,0200,R 19e
1271.5117,5.036e-27,0.077,0.099,3893.6575,1,3220,2220,P 17e
1271.5140,5.037e-27,0.077,0.099,3893.6537,1,3220,2220,P 17f
1271.5142,1.416e-27,0.0699,0.084,1127.9836,5,1110,0110,Q 36e
1271.5143,1.321e-28,0.0719,0.089,2561.0754,1,0600,0001,R 28e
1271.5180,2.649e-27,0.0715,0.088,2754.6624,4,2200,1200,R 29e
1271.5209,5.132e-28,0.0719,0.089,3098.7892,3,1111,0111,R 28e
1271.5229,1.715e-26,0.0759,0.097,741.2248,5,1110,0110,Q 19f
1271.5252,1.377e-27,0.0699,0.084,2986.0729,4,3000,2000,R 35e
1271.5320,1.867e-28,0.0707,0.086,4511.1806,1,1710,0710,P 33f
1271.5381,3.584e-28,0.0741,0.094,3118.3424,3,1530,0530,P 23f
1271.5404,1.904e-28,0.0707,0.086,4508.0375,1,1710,0710,P 33e
1271.5433,9.255e-28,0.0765,0.098,4188.6626,1,2111,1111,R 17e
1271.5447,4.205e-28,0.0679,0.079,4408.6438,1,1660,0660,P 45e
1271.5447,4.205e-28,0.0679,0.079,4408.6438,1,1660,0660,P 45f
1271.5483,3.620e-28,0.0741,0.094,2085.9251,3,2110,1110,Q 23f
1271.5484,4.204e-28,0.0725,0.09,1461.6345,2,1220,0200,P 27e
1271.5490,1.965e-24,0.077,0.099,2589.927,1,2200,1200,P 17e
1271.5616,1.678e-27,0.0701,0.085,1098.722,5,1110,0110,Q 35e
1271.5704,6.915e-26,0.0791,0.102,1801.4112,4,1310,0310,R 13e
1271.5740,1.096e-26,0.0783,0.101,1857.74,5,1330,0330,P 15f
1271.5740,1.096e-26,0.0783,0.101,1857.7399,5,1330,0330,P 15e
1271.5872,1.017e-24,0.0715,0.088,2713.4175,1,1400,0400,P 30e
1271.6019,6.406e-28,0.0846,0.107,2344.7205,5,1400,0400,P 9e
1271.6076,1.983e-27,0.0704,0.086,1070.2716,5,1110,0110,Q 34e
1271.6102,6.308e-26,0.0736,0.093,2057.5702,4,2110,1110,R 23e
1271.6107,1.951e-26,0.0765,0.098,725.7408,5,1110,0110,Q 18f
1271.6112,2.116e-28,0.0615,0.06,3886.5457,1,0220,0000,R 96e
1271.6224,1.199e-28,0.0922,0.114,3139.4709,2,3110,2110,R 2e
1271.6291,9.245e-28,0.0765,0.098,4188.9335,1,2111,1111,R 17f
1271.6304,1.199e-28,0.0922,0.114,3139.4767,2,3110,2110,R 2f
1271.6318,6.909e-26,0.0791,0.102,1801.6452,4,1310,0310,R 13f
1271.6421,1.148e-25,0.0741,0.094,1958.8911,2,1330,0330,P 23f
1271.6493,8.134e-28,0.067,0.077,1618.9697,3,1110,0110,Q 50f
1271.6525,2.335e-27,0.0707,0.086,1042.6324,5,1110,0110,Q 33e
1271.6538,4.145e-28,0.0745,0.094,2067.3322,3,2110,1110,Q 22f
1271.6621,4.383e-27,0.0799,0.103,2355.9104,4,1400,0400,R 12e
1271.6640,1.148e-25,0.0741,0.094,1958.8688,2,1330,0330,P 23e
1271.6670,5.117e-28,0.0719,0.089,3099.3807,3,1111,0111,R 28f
1271.6681,4.474e-22,0.0857,0.108,1314.9448,1,2000,1000,P 8e
1271.6772,1.699e-23,0.0749,0.095,750.4155,4,1110,0110,R 20e
1271.6854,2.933e-27,0.0857,0.108,2327.6498,4,2220,0420,R 7f
1271.6855,2.933e-27,0.0857,0.108,2327.6501,4,2220,0420,R 7e
1271.6898,6.509e-27,0.0749,0.095,3814.3413,1,2400,1400,P 21e
1271.6940,2.217e-26,0.077,0.099,711.0712,5,1110,0110,Q 17f
1271.6958,7.748e-28,0.0962,0.119,2440.4327,3,2200,1200,P 1e
1271.6961,2.741e-27,0.0709,0.087,1015.8047,5,1110,0110,Q 32e
1271.6973,2.619e-28,0.0745,0.094,3172.3265,4,3110,1310,R 21e
1271.6991,6.742e-27,0.0857,0.108,2461.4236,2,2200,1200,P 8e
1271.7104,2.540e-28,0.088,0.11,3037.1173,3,3110,1310,P 6f
1271.7145,2.041e-23,0.0868,0.109,608.0353,3,1110,0110,P 7f
1271.7180,8.291e-26,0.088,0.11,1877.7538,2,2110,1110,P 6f
1271.7197,2.042e-23,0.0868,0.109,607.9937,3,1110,0110,P 7e
1271.7251,2.542e-28,0.088,0.11,3037.0533,3,3110,1310,P 6e
1271.7255,8.294e-26,0.088,0.11,1877.7164,2,2110,1110,P 6e
1271.7270,6.422e-26,0.0922,0.114,1166.4349,5,1200,0200,P 3e
1271.7272,3.026e-28,0.0809,0.104,4400.9527,1,3310,2310,P 12f
1271.7384,3.209e-27,0.0712,0.088,989.7886,5,1110,0110,Q 31e
1271.7449,4.649e-28,0.0765,0.098,3015.1724,3,1510,0510,P 18f
1271.7473,5.873e-27,0.0729,0.091,2598.1804,2,1440,0440,P 26e
1271.7474,5.873e-27,0.0729,0.091,2598.1803,2,1440,0440,P 26f
1271.7505,2.961e-28,0.0809,0.104,4400.6787,1,3310,2310,P 12e
1271.7540,1.907e-28,0.0733,0.092,3329.8474,4,2310,2110,R 24f
1271.7546,4.736e-28,0.0749,0.095,2049.5472,3,2110,1110,Q 21f
1271.7560,4.331e-27,0.0729,0.091,2628.1492,3,1440,0440,P 26e
1271.7560,4.331e-27,0.0729,0.091,2628.1492,3,1440,0440,P 26f
1271.7681,1.765e-24,0.0846,0.107,1298.9261,3,2000,1000,R 8e
1271.7725,2.517e-26,0.0777,0.1,697.2162,5,1110,0110,Q 16f
1271.7737,2.462e-25,0.0783,0.101,1349.7585,5,2000,1000,R 14e
1271.7748,3.543e-25,0.0694,0.083,2980.1026,1,1440,0440,P 38e
1271.7748,3.543e-25,0.0694,0.083,2980.1024,1,1440,0440,P 38f
1271.7763,1.159e-25,0.0791,0.102,1822.0669,3,1310,0310,P 14f
1271.7771,4.672e-28,0.0765,0.098,3014.4852,3,1510,0510,P 18e
1271.7777,1.409e-27,0.0922,0.114,3838.8559,1,4000,3000,R 2e
1271.7782,1.009e-28,0.066,0.074,3086.2644,1,1330,0310,P 56e
1271.7784,1.144e-27,0.0777,0.1,2839.3858,2,1111,0111,R 15e
1271.7795,3.745e-27,0.0715,0.088,964.5841,5,1110,0110,Q 30e
1271.7806,1.402e-25,0.0754,0.096,1890.8564,2,1310,0310,P 20f
1271.7817,1.696e-23,0.0749,0.095,750.7141,4,1110,0110,R 20f
1271.7824,3.311e-27,0.0709,0.087,3910.7288,1,1600,0600,P 32e
1271.7933,1.162e-25,0.0791,0.102,1821.7756,3,1310,0310,P 14e
1271.7943,3.749e-23,0.0783,0.101,676.2038,2,1110,0110,P 15f
1271.7952,6.290e-26,0.0736,0.093,2058.0522,4,2110,1110,R 23f
1271.8009,1.409e-25,0.0754,0.096,1890.2001,2,1310,0310,P 20e
1271.8013,3.755e-23,0.0783,0.101,676.0095,2,1110,0110,P 15e
1271.8023,2.361e-27,0.0922,0.114,3375.6419,1,1221,0221,R 2f
1271.8023,2.361e-27,0.0922,0.114,3375.6419,1,1221,0221,R 2e
1271.8072,8.023e-25,0.0709,0.087,2775.416,1,1420,0420,P 32e
1271.8083,5.260e-22,0.0833,0.106,46.0859,2,1000,0000,P 10e
1271.8125,1.923e-25,0.0833,0.106,2835.7105,1,1111,0111,R 9e
1271.8147,3.824e-25,0.0696,0.084,1771.5765,4,2000,1000,R 36e
1271.8158,9.823e-27,0.0722,0.09,3793.543,1,2001,1001,R 27e
1271.8192,4.359e-27,0.0719,0.089,940.1915,5,1110,0110,Q 29e
1271.8219,4.014e-22,0.0733,0.092,1440.9764,1,1200,0200,P 25e
1271.8241,1.143e-27,0.0777,0.1,2839.5763,2,1111,0111,R 15f
1271.8252,5.270e-27,0.0846,0.107,2491.0124,3,2220,1220,P 9f
1271.8252,5.270e-27,0.0846,0.107,2491.0125,3,2220,1220,P 9e
1271.8330,2.611e-28,0.0745,0.094,3172.9754,4,3110,1310,R 21f
1271.8336,6.011e-28,0.0754,0.096,2518.4373,5,1440,0440,P 20e
1271.8336,6.011e-28,0.0754,0.096,2518.4374,5,1440,0440,P 20f
1271.8399,1.923e-25,0.0833,0.106,2835.7804,1,1111,0111,R 9f
1271.8409,4.783e-28,0.088,0.11,2447.9006,5,2200,1200,R 5e
1271.8436,3.322e-23,0.0777,0.1,1993.8032,1,2110,1110,P 16e
1271.8454,8.042e-25,0.0709,0.087,2775.2163,1,1420,0420,P 32f
1271.8464,2.857e-26,0.0783,0.101,684.1759,5,1110,0110,Q 15f
1271.8509,5.401e-28,0.0754,0.096,2032.57,3,2110,1110,Q 20f
1271.8545,3.315e-23,0.0777,0.1,1994.0505,1,2110,1110,P 16f
1271.8577,5.059e-27,0.0722,0.09,916.6108,5,1110,0110,Q 28e
1271.8660,2.434e-28,0.0833,0.106,2897.2455,4,0710,0510,R 9e
1271.8755,1.013e-27,0.0672,0.077,1578.475,3,1110,0110,Q 49f
1271.8755,1.541e-26,0.0745,0.094,2369.6516,2,1001,0001,R 21e
1271.8756,6.989e-28,0.0809,0.104,2381.5927,5,1420,0420,P 12e
1271.8768,6.989e-28,0.0809,0.104,2381.5895,5,1420,0420,P 12f
1271.8782,1.091e-26,0.0906,0.112,1758.1748,4,1330,0330,R 3e
1271.8782,1.091e-26,0.0906,0.112,1758.1748,4,1330,0330,R 3f
1271.8783,4.786e-23,0.0846,0.107,29.2795,5,1000,0000,R 8e
1271.8887,8.864e-27,0.0749,0.095,2472.4445,2,1400,0400,P 21e
1271.8910,7.338e-28,0.0759,0.097,2662.6925,5,3000,2000,R 18e
1271.8947,4.328e-27,0.0783,0.101,2514.5143,4,1420,1220,R 14e
1271.8949,5.855e-27,0.0725,0.09,893.8421,5,1110,0110,Q 27e
1271.8956,4.328e-27,0.0783,0.101,2514.5131,4,1420,1220,R 14f
1271.8963,2.968e-28,0.0696,0.084,3049.4392,1,2220,1200,P 37e
1271.9094,1.007e-28,0.0701,0.085,4784.3688,1,1750,1550,P 35f
1271.9095,1.007e-28,0.0701,0.085,4784.3688,1,1750,1550,P 35e
1271.9142,9.593e-27,0.0868,0.109,3381.4726,1,1201,0201,R 6e
1271.9159,3.244e-26,0.0791,0.102,671.9502,5,1110,0110,Q 14f
1271.9163,2.433e-28,0.0833,0.106,2897.4122,4,0710,0510,R 9f
1271.9225,6.676e-27,0.0791,0.102,2607.6576,3,3000,2000,R 13e
1271.9310,6.760e-27,0.0729,0.091,871.8856,5,1110,0110,Q 26e
1271.9375,5.339e-27,0.0736,0.093,3882.993,1,2420,1420,P 24e
1271.9427,6.151e-28,0.0759,0.097,2016.4007,3,2110,1110,Q 19f
1271.9528,5.343e-27,0.0736,0.093,3882.9327,1,2420,1420,P 24f
1271.9602,2.275e-28,0.0725,0.09,1466.5642,3,1220,0200,P 27e
1271.9655,7.784e-27,0.0733,0.092,850.7414,5,1110,0110,Q 25e
1271.9668,1.592e-19,0.0783,0.101,100.5525,1,1000,0000,P 15e
1271.9709,5.018e-28,0.0791,0.102,3106.5947,2,2330,1330,P 14f
1271.9709,5.018e-28,0.0791,0.102,3106.5947,2,2330,1330,P 14e
1271.9806,3.686e-26,0.0799,0.103,660.5393,5,1110,0110,Q 13f
1271.9809,1.414e-27,0.0694,0.083,4122.2272,1,2440,0640,P 38e
1271.9813,1.414e-27,0.0694,0.083,4122.2262,1,2440,0640,P 38f
1271.9987,4.205e-28,0.0685,0.081,3081.0025,1,1420,0400,P 42e
1271.9988,8.942e-27,0.0736,0.093,830.4096,5,1110,0110,Q 24e
1272.0091,2.514e-28,0.0922,0.114,3933.7452,1,1311,0311,R 2e
1272.0103,2.192e-24,0.0759,0.097,1310.6294,2,1220,0220,P 19e
1272.0130,2.192e-24,0.0759,0.097,1310.6179,2,1220,0220,P 19f
1272.0187,1.585e-28,0.0857,0.108,3044.3061,4,1530,1330,R 7e
1272.0187,1.585e-28,0.0857,0.108,3044.3061,4,1530,1330,R 7f
1272.0191,2.514e-28,0.0922,0.114,3933.754,1,1311,0311,R 2f
1272.0269,1.217e-22,0.0704,0.086,443.6391,4,1000,0000,R 33e
1272.0300,6.994e-28,0.0765,0.098,2001.0393,3,2110,1110,Q 18f
1272.0310,1.025e-26,0.0741,0.094,810.8902,5,1110,0110,Q 23e
1272.0314,3.825e-28,0.0783,0.101,3142.9327,3,2330,1330,P 15f
1272.0314,3.825e-28,0.0783,0.101,3142.9327,3,2330,1330,P 15e
1272.0407,4.195e-26,0.0809,0.104,649.9433,5,1110,0110,Q 12f
1272.0616,1.172e-26,0.0745,0.094,792.1835,5,1110,0110,Q 22e
1272.0681,3.450e-26,0.0701,0.085,3444.5471,1,1530,0530,P 35f
1272.0688,5.491e-28,0.0745,0.094,3056.8995,2,2310,0510,P 22f
1272.0733,3.451e-26,0.0701,0.085,3444.5313,1,1530,0530,P 35e
1272.0794,7.967e-26,0.0833,0.106,3211.7127,1,3110,2110,P 10f
1272.0797,7.976e-26,0.0833,0.106,3211.5945,1,3110,2110,P 10e
1272.0867,1.301e-28,0.0922,0.114,2456.5828,5,2220,1220,P 3f
1272.0867,1.301e-28,0.0922,0.114,2456.5828,5,2220,1220,P 3e
1272.0911,1.338e-26,0.0749,0.095,774.2894,5,1110,0110,Q 21e
1272.0954,4.864e-28,0.0833,0.106,3049.443,2,1510,1310,P 10f
1272.0962,4.785e-26,0.082,0.105,640.1621,5,1110,0110,Q 11f
1272.0974,1.257e-27,0.0673,0.078,1538.7869,3,1110,0110,Q 48f
1272.1057,5.532e-28,0.0745,0.094,3055.7398,2,2310,0510,P 22e
1272.1113,8.188e-27,0.0745,0.094,2497.2377,2,1420,0420,P 22f
1272.1125,7.945e-28,0.077,0.099,1986.4861,3,2110,1110,Q 17f
1272.1136,9.719e-25,0.0809,0.104,1221.052,4,1220,0220,R 11f
1272.1139,9.719e-25,0.0809,0.104,1221.0524,4,1220,0220,R 11e
1272.1172,4.872e-28,0.0833,0.106,3049.2587,2,1510,1310,P 10e
1272.1192,1.525e-26,0.0754,0.096,757.208,5,1110,0110,Q 20e
1272.1241,8.181e-27,0.0745,0.094,2497.2826,2,1420,0420,P 22e
1272.1256,1.137e-26,0.0791,0.102,1265.9657,1,1200,0220,P 14e
1272.1387,1.772e-24,0.0791,0.102,1256.0874,3,1220,0220,P 14e
1272.1398,1.772e-24,0.0791,0.102,1256.0851,3,1220,0220,P 14f
1272.1422,3.703e-27,0.0868,0.109,3771.5654,1,3200,2200,P 7e
1272.1461,1.735e-26,0.0759,0.097,740.9395,5,1110,0110,Q 19e
1272.1471,5.479e-26,0.0833,0.106,631.1958,5,1110,0110,Q 10f
1272.1492,1.358e-25,0.0857,0.108,1202.3117,5,1220,0220,P 8e
1272.1494,1.358e-25,0.0857,0.108,1202.3115,5,1220,0220,P 8f
1272.1562,2.338e-27,0.0687,0.081,2859.6205,3,1001,0001,R 40e
1272.1580,1.597e-24,0.0745,0.094,2686.5439,1,2220,1220,P 22e
1272.1625,1.597e-24,0.0745,0.094,2686.5306,1,2220,1220,P 22f
1272.1715,1.971e-26,0.0765,0.098,725.484,5,1110,0110,Q 18e
1272.1731,7.252e-26,0.0692,0.083,1822.6138,1,1220,0200,P 39e
1272.1751,1.086e-25,0.0754,0.096,3222.3131,1,2310,1310,P 20f
1272.1753,3.634e-24,0.0759,0.097,2365.8576,1,1001,0001,R 18e
1272.1775,6.401e-27,0.0833,0.106,2589.7837,2,3000,2000,R 9e
1272.1863,1.091e-25,0.0754,0.096,3221.6347,1,2310,1310,P 20e
1272.1867,3.271e-28,0.0754,0.096,2507.8401,1,1400,0420,P 20e
1272.1870,7.235e-27,0.0833,0.106,2485.6089,2,2220,1220,P 10e
1272.1873,7.235e-27,0.0833,0.106,2485.608,2,2220,1220,P 10f
1272.1905,9.019e-28,0.0777,0.1,1972.741,3,2110,1110,Q 16f
1272.1914,4.085e-28,0.0668,0.076,2864.2296,1,1330,0310,P 51f
1272.1915,8.223e-27,0.0868,0.109,1761.8604,5,1310,0310,P 7f
1272.1935,6.307e-26,0.0846,0.107,623.0445,5,1110,0110,Q 9f
1272.1948,2.439e-27,0.0712,0.088,2778.3171,4,2200,1200,R 30e
1272.1956,2.237e-26,0.077,0.099,710.8414,5,1110,0110,Q 17e
1272.2002,1.836e-25,0.0962,0.119,2564.1707,1,3000,2000,P 1e
1272.2058,8.229e-27,0.0868,0.109,1761.7828,5,1310,0310,P 7e
1272.2130,1.876e-28,0.0715,0.088,3307.4627,3,1550,0550,P 30e
1272.2131,1.876e-28,0.0715,0.088,3307.4627,3,1550,0550,P 30f
1272.2151,1.810e-28,0.0729,0.091,3348.8279,4,2310,2110,R 25e
1272.2186,2.538e-26,0.0777,0.1,697.0119,5,1110,0110,Q 16e
1272.2193,7.518e-27,0.0783,0.101,2402.6706,3,1400,0400,P 15e
1272.2200,2.378e-24,0.077,0.099,1272.803,2,1200,0200,P 17e
1272.2216,6.447e-27,0.0892,0.111,1866.8694,5,2110,1110,R 4e
1272.2235,4.638e-28,0.0736,0.093,3107.9455,2,1530,0530,P 24e
1272.2298,4.743e-28,0.0715,0.088,3122.0728,3,1111,0111,R 29e
1272.2318,1.546e-24,0.0846,0.107,1196.4841,3,1200,0200,P 9e
1272.2318,1.060e-24,0.0749,0.095,1321.5406,4,1200,0200,R 20e
1272.2337,6.989e-27,0.0765,0.098,2453.7079,3,1420,0420,P 18e
1272.2352,7.313e-26,0.0857,0.108,615.7082,5,1110,0110,Q 8f
1272.2364,6.447e-27,0.0892,0.111,1866.8872,5,2110,1110,R 4f
1272.2385,6.991e-27,0.0765,0.098,2453.6912,3,1420,0420,P 18f
1272.2400,2.878e-26,0.0783,0.101,683.9956,5,1110,0110,Q 15e
1272.2603,3.264e-26,0.0791,0.102,671.7924,5,1110,0110,Q 14e
1272.2618,6.681e-26,0.0725,0.09,3385.4765,1,2330,1330,P 27f
1272.2618,1.232e-27,0.0696,0.084,3014.3401,4,3000,2000,R 36e
1272.2620,6.681e-26,0.0725,0.09,3385.4759,1,2330,1330,P 27e
1272.2639,1.024e-27,0.0783,0.101,1959.8041,3,2110,1110,Q 15f
1272.2653,1.152e-28,0.0892,0.111,4458.8528,1,4110,3110,P 5f
1272.2708,4.637e-28,0.0736,0.093,3107.9493,2,1530,0530,P 24f
1272.2709,7.863e-21,0.0745,0.094,800.8262,1,1110,0110,P 22e
1272.2719,1.153e-28,0.0892,0.111,4458.8135,1,4110,3110,P 5e
1272.2722,8.566e-26,0.0868,0.109,609.187,5,1110,0110,Q 7f
1272.2737,2.575e-28,0.0725,0.09,4534.6779,1,3330,1530,P 27f
1272.2748,2.575e-28,0.0725,0.09,4534.6751,1,3330,1530,P 27e
1272.2790,3.706e-26,0.0799,0.103,660.4026,5,1110,0110,Q 13e
1272.2905,1.947e-23,0.0722,0.09,2089.6289,1,1310,0310,P 28e
1272.2907,7.839e-21,0.0745,0.094,801.2267,1,1110,0110,P 22f
1272.2915,2.526e-28,0.0749,0.095,4557.5462,1,2530,2330,P 21f
1272.2916,2.526e-28,0.0749,0.095,4557.546,1,2530,2330,P 21e
1272.2966,4.214e-26,0.0809,0.104,649.826,5,1110,0110,Q 12e
1272.3011,1.931e-23,0.0722,0.09,2090.8376,1,1310,0310,P 28f
1272.3020,1.675e-22,0.0922,0.114,2.4291,3,1000,0000,R 2e
1272.3046,1.018e-25,0.088,0.11,603.4808,5,1110,0110,Q 6f
1272.3094,9.093e-28,0.0759,0.097,4203.5644,1,2111,1111,R 18e
1272.3128,4.804e-26,0.082,0.105,640.0628,5,1110,0110,Q 11e
1272.3129,7.026e-26,0.0783,0.101,1812.4968,4,1310,0310,R 14e
1272.3147,1.555e-27,0.0675,0.078,1499.9057,3,1110,0110,Q 47f
1272.3155,2.855e-27,0.0707,0.086,3947.2925,1,0820,0620,P 33e
1272.3276,5.497e-26,0.0833,0.106,631.1131,5,1110,0110,Q 10e
1272.3317,3.078e-22,0.0722,0.09,1518.8058,1,1220,0220,P 28e
1272.3323,1.235e-25,0.0892,0.111,598.5898,5,1110,0110,Q 5f
1272.3327,3.102e-28,0.0722,0.09,3220.8731,2,1550,0550,P 28e
1272.3327,3.102e-28,0.0722,0.09,3220.8731,2,1550,0550,P 28f
1272.3328,1.162e-27,0.0791,0.102,1947.6755,3,2110,1110,Q 14f
1272.3374,5.994e-26,0.0733,0.092,2076.4905,4,2110,1110,R 24e
1272.3408,3.080e-22,0.0722,0.09,1518.7673,1,1220,0220,P 28f
1272.3411,6.324e-26,0.0846,0.107,622.9768,5,1110,0110,Q 9e
1272.3435,3.816e-28,0.0745,0.094,4410.5436,1,2510,1510,P 22f
1272.3436,1.399e-28,0.0701,0.085,4583.3782,1,0930,0730,P 35f
1272.3532,7.328e-26,0.0857,0.108,615.6541,5,1110,0110,Q 8e
1272.3555,1.547e-25,0.0906,0.112,594.5139,5,1110,0110,Q 4f
1272.3583,1.304e-28,0.0701,0.085,4583.3329,1,0930,0730,P 35e
1272.3608,9.852e-26,0.0754,0.096,1927.2723,3,1330,0330,P 20f
1272.3609,9.852e-26,0.0754,0.096,1927.2722,3,1330,0330,P 20e
1272.3625,5.685e-26,0.0712,0.088,3316.2036,1,1510,0510,P 31f
1272.3640,8.580e-26,0.0868,0.109,609.1449,5,1110,0110,Q 7e
1272.3646,5.763e-26,0.0712,0.088,3314.0633,1,1510,0510,P 31e
1272.3734,1.019e-25,0.088,0.11,603.4493,5,1110,0110,Q 6e
1272.3740,2.037e-25,0.0922,0.114,591.2531,5,1110,0110,Q 3f
1272.3746,3.846e-28,0.0745,0.094,4409.3762,1,2510,1510,P 22e
1272.3802,7.019e-26,0.0783,0.101,1812.7669,4,1310,0310,R 14f
1272.3816,1.236e-25,0.0892,0.111,598.5672,5,1110,0110,Q 5e
1272.3850,4.728e-28,0.0715,0.088,3122.7064,3,1111,0111,R 29f
1272.3879,2.946e-25,0.0941,0.116,588.8076,5,1110,0110,Q 2f
1272.3882,3.750e-28,0.0745,0.094,3099.6272,3,1530,0530,P 22e
1272.3884,1.548e-25,0.0906,0.112,594.4988,5,1110,0110,Q 4e
1272.3887,5.072e-27,0.0777,0.1,3879.4804,1,3220,2220,P 16e
1272.3905,2.869e-27,0.0707,0.086,3946.8373,1,0820,0620,P 33f
1272.3905,5.072e-27,0.0777,0.1,3879.4773,1,3220,2220,P 16f
1272.3938,2.038e-25,0.0922,0.114,591.2441,5,1110,0110,Q 3e
1272.3972,5.345e-25,0.0962,0.119,587.1772,5,1110,0110,Q 1f
1272.3972,1.320e-27,0.0799,0.103,1936.3551,3,2110,1110,Q 13f
1272.3978,2.946e-25,0.0941,0.116,588.8031,5,1110,0110,Q 2e
1272.4005,5.345e-25,0.0962,0.119,587.1757,5,1110,0110,Q 1e
1272.4031,9.081e-28,0.0759,0.097,4203.8672,1,2111,1111,R 18f
1272.4061,1.642e-23,0.0745,0.094,767.0315,4,1110,0110,R 21e
1272.4072,4.491e-27,0.0791,0.102,2366.2245,4,1400,0400,R 13e
1272.4113,2.518e-28,0.0741,0.094,3189.6701,4,3110,1310,R 22e
1272.4123,1.352e-26,0.0687,0.081,3671.4414,1,1550,0550,P 41e
1272.4123,1.352e-26,0.0687,0.081,3671.4414,1,1550,0550,P 41f
