molecule,nu_cm1,S_cm_per_molec,iso,elower
N2O,1295.7387,5.065e-27,1,3840.5
N2O,1295.7450,1.621e-26,1,3114.8
N2O,1295.7451,1.621e-26,1,3114.8
N2O,1295.7548,1.503e-25,1,1925.9
N2O,1295.7649,9.637e-26,1,3308.1
N2O,1295.7743,1.868e-26,1,3106.4
N2O,1295.7743,1.868e-26,1,3106.4
N2O,1295.7779,2.276e-28,1,4206.3
N2O,1295.7971,3.113e-24,1,1518.8
N2O,1295.8006,2.168e-26,1,3098.9
N2O,1295.8006,2.168e-26,1,3098.9
N2O,1295.8028,2.018e-28,1,4675.8
N2O,1295.8056,2.276e-28,1,4206.4
N2O,1295.8094,5.154e-27,1,3638.5
N2O,1295.8184,3.612e-24,1,1495.3
N2O,1295.8240,2.541e-26,1,3092.2
N2O,1295.8240,2.541e-26,1,3092.2
N2O,1295.8294,2.740e-28,1,4339.0
N2O,1295.8294,2.740e-28,1,4339.0
N2O,1295.8357,6.718e-25,1,2327.6
N2O,1295.8445,3.022e-26,1,3086.3
N2O,1295.8445,3.022e-26,1,3086.3
N2O,1295.8470,7.632e-28,1,2089.6
N2O,1295.8502,2.931e-27,1,3980.8
N2O,1295.8537,1.737e-23,1,1790.5
N2O,1295.8537,1.737e-23,1,1790.5
N2O,1295.8540,5.039e-27,1,3821.1
N2O,1295.8542,5.040e-27,1,3821.1
N2O,1295.8546,3.184e-28,1,3407.5
N2O,1295.8604,3.863e-28,1,4183.2
N2O,1295.8604,3.863e-28,1,4183.2
N2O,1295.8621,3.669e-26,1,3081.3
N2O,1295.8621,3.669e-26,1,3081.3
N2O,1295.8665,3.359e-28,1,4399.7
N2O,1295.8693,8.821e-26,1,2952.0
N2O,1295.8693,8.821e-26,1,2952.0
N2O,1295.8767,4.596e-26,1,3077.1
N2O,1295.8767,4.596e-26,1,3077.1
N2O,1295.8787,1.045e-24,1,2900.7
N2O,1295.8814,3.620e-24,1,1495.3
N2O,1295.8873,1.717e-25,1,1909.0
N2O,1295.8884,6.056e-26,1,3073.8
N2O,1295.8884,6.056e-26,1,3073.8
N2O,1295.8950,4.152e-28,1,3355.6
N2O,1295.8950,6.417e-26,1,2910.5
N2O,1295.8969,9.622e-26,1,3308.4
N2O,1295.9086,4.189e-24,1,1472.6
N2O,1295.9140,6.421e-26,1,2910.4
N2O,1295.9457,5.273e-27,1,3695.8
N2O,1295.9457,5.273e-27,1,3695.8
N2O,1295.9556,5.642e-22,1,1477.6
N2O,1295.9596,4.113e-28,1,3240.6
N2O,1295.9614,7.884e-26,1,3367.7
N2O,1295.9630,4.198e-24,1,1472.6
N2O,1295.9952,4.846e-24,1,1450.8
N2O,1296.0057,1.997e-24,1,2517.2
N2O,1296.0132,1.958e-25,1,1893.0
N2O,1296.0256,1.166e-28,1,4235.2
N2O,1296.0256,1.166e-28,1,4235.2
N2O,1296.0377,4.177e-28,1,3355.5
N2O,1296.0419,4.855e-24,1,1450.7
N2O,1296.0423,6.147e-27,1,3563.4
N2O,1296.0423,6.147e-27,1,3563.4
N2O,1296.0457,1.415e-28,1,4230.2
N2O,1296.0457,1.415e-28,1,4230.2
N2O,1296.0626,1.773e-28,1,4226.0
N2O,1296.0626,1.773e-28,1,4226.0
N2O,1296.0760,2.336e-28,1,4222.7
N2O,1296.0760,2.336e-28,1,4222.7
N2O,1296.0782,5.591e-24,1,1429.8
N2O,1296.0851,1.685e-28,1,2423.5
N2O,1296.0877,5.429e-28,1,3304.4
N2O,1296.1065,1.144e-28,1,3316.2
N2O,1296.1181,5.600e-24,1,1429.8
H2O,1296.1270,1.736e-26,1,3939.8
N2O,1296.1288,4.929e-27,1,3958.9
N2O,1296.1326,2.231e-25,1,1877.9
N2O,1296.1341,5.029e-27,1,3498.0
N2O,1296.1346,5.029e-27,1,3498.0
N2O,1296.1383,9.105e-26,1,3069.6
N2O,1296.1458,2.641e-26,1,3548.6
N2O,1296.1459,3.446e-23,1,1945.4
N2O,1296.1576,6.435e-24,1,1409.6
N2O,1296.1662,1.663e-28,1,4382.2
N2O,1296.1662,1.663e-28,1,4382.2
N2O,1296.1742,9.104e-26,1,3069.7
N2O,1296.1761,5.107e-28,1,3201.9
N2O,1296.1877,1.693e-27,1,4300.9
N2O,1296.1914,6.443e-24,1,1409.6
N2O,1296.1998,3.444e-23,1,1945.5
N2O,1296.2142,1.040e-24,1,2487.4
N2O,1296.2142,1.040e-24,1,2487.4
N2O,1296.2182,5.458e-28,1,3304.3
N2O,1296.2189,3.078e-28,1,4054.9
N2O,1296.2253,8.739e-25,1,2343.7
N2O,1296.2254,8.739e-25,1,2343.7
N2O,1296.2277,1.638e-28,1,4285.5
N2O,1296.2277,1.638e-28,1,4285.5
N2O,1296.2335,7.389e-24,1,1390.3
N2O,1296.2453,2.540e-25,1,1863.6
N2O,1296.2483,3.082e-28,1,4054.8
N2O,1296.2620,7.397e-24,1,1390.3
N2O,1296.2651,1.693e-19,1,76.3
N2O,1296.2771,7.070e-28,1,3254.1
N2O,1296.2814,5.351e-28,1,4263.7
N2O,1296.2815,5.351e-28,1,4263.7
